strain,Sequencing_technology,Primers_used,simple_strain,Primers
SouthAfrica/KRISP-0131/2020,Illumina Miseq,ARTIC_V2,KRISP-0131,
SouthAfrica/KRISP-0132/2020,Illumina Miseq,ARTIC_V2,KRISP-0132,
SouthAfrica/KRISP-0133/2020,Illumina Miseq,ARTIC_V2,KRISP-0133,
SouthAfrica/KRISP-0134/2020,Illumina Miseq,ARTIC_V2,KRISP-0134,
SouthAfrica/KRISP-0135/2020,Illumina Miseq,ARTIC_V2,KRISP-0135,
SouthAfrica/KRISP-0136/2020,Illumina Miseq,ARTIC_V2,KRISP-0136,
SouthAfrica/KRISP-0137/2020,Illumina Miseq,ARTIC_V2,KRISP-0137,
SouthAfrica/KRISP-0138/2020,Illumina Miseq,ARTIC_V2,KRISP-0138,
SouthAfrica/KRISP-0139/2020,Illumina Miseq,ARTIC_V2,KRISP-0139,
SouthAfrica/KRISP-0141/2020,Illumina Miseq,ARTIC_V2,KRISP-0141,
SouthAfrica/KRISP-0143/2020,Illumina Miseq,ARTIC_V2,KRISP-0143,
SouthAfrica/KRISP-0144/2020,Illumina Miseq,ARTIC_V2,KRISP-0144,
SouthAfrica/KRISP-0145/2020,Illumina Miseq,ARTIC_V2,KRISP-0145,
SouthAfrica/KRISP-0146/2020,Illumina Miseq,ARTIC_V2,KRISP-0146,
SouthAfrica/KRISP-0147/2020,Illumina Miseq,ARTIC_V2,KRISP-0147,
SouthAfrica/KRISP-0148/2020,Illumina Miseq,ARTIC_V2,KRISP-0148,
SouthAfrica/KRISP-0149/2020,Illumina Miseq,ARTIC_V2,KRISP-0149,
SouthAfrica/KRISP-0150/2020,Illumina Miseq,ARTIC_V2,KRISP-0150,
SouthAfrica/KRISP-0151/2020,Illumina Miseq,ARTIC_V2,KRISP-0151,
SouthAfrica/KRISP-0152/2020,Illumina Miseq,ARTIC_V2,KRISP-0152,
SouthAfrica/KRISP-0153/2020,Illumina Miseq,ARTIC_V2,KRISP-0153,
SouthAfrica/KRISP-0154/2020,Illumina Miseq,ARTIC_V2,KRISP-0154,
SouthAfrica/KRISP-0155/2020,Illumina Miseq,ARTIC_V2,KRISP-0155,
SouthAfrica/KRISP-0156/2020,Illumina Miseq,ARTIC_V2,KRISP-0156,
SouthAfrica/KRISP-0157/2020,Illumina Miseq,ARTIC_V2,KRISP-0157,
SouthAfrica/KRISP-0158/2020,Illumina Miseq,ARTIC_V2,KRISP-0158,
SouthAfrica/KRISP-0159/2020,Illumina Miseq,ARTIC_V2,KRISP-0159,
SouthAfrica/KRISP-0160/2020,Illumina Miseq,ARTIC_V2,KRISP-0160,
SouthAfrica/KRISP-0161/2020,Illumina Miseq,ARTIC_V2,KRISP-0161,
SouthAfrica/KRISP-0162/2020,Illumina Miseq,ARTIC_V2,KRISP-0162,
SouthAfrica/KRISP-0163/2020,Illumina Miseq,ARTIC_V2,KRISP-0163,
SouthAfrica/KRISP-0164/2020,Illumina Miseq,ARTIC_V2,KRISP-0164,
SouthAfrica/KRISP-0165/2020,Illumina Miseq,ARTIC_V2,KRISP-0165,
SouthAfrica/KRISP-0166/2020,Illumina Miseq,ARTIC_V2,KRISP-0166,
SouthAfrica/KRISP-0167/2020,Illumina Miseq,ARTIC_V2,KRISP-0167,
SouthAfrica/KRISP-0168/2020,Illumina Miseq,ARTIC_V2,KRISP-0168,
SouthAfrica/KRISP-0169/2020,Illumina Miseq,ARTIC_V2,KRISP-0169,
SouthAfrica/KRISP-0170/2020,Illumina Miseq,ARTIC_V2,KRISP-0170,
SouthAfrica/KRISP-0171/2020,Illumina Miseq,ARTIC_V2,KRISP-0171,
SouthAfrica/KRISP-0172/2020,Illumina Miseq,ARTIC_V2,KRISP-0172,
SouthAfrica/KRISP-0173/2020,Illumina Miseq,ARTIC_V2,KRISP-0173,
SouthAfrica/KRISP-0174/2020,Illumina Miseq,ARTIC_V2,KRISP-0174,
SouthAfrica/KRISP-0175/2020,Illumina Miseq,ARTIC_V2,KRISP-0175,
SouthAfrica/KRISP-0176/2020,Illumina Miseq,ARTIC_V2,KRISP-0176,
SouthAfrica/KRISP-0178/2020,Illumina Miseq,ARTIC_V2,KRISP-0178,
SouthAfrica/KRISP-0179/2020,Illumina Miseq,ARTIC_V2,KRISP-0179,
SouthAfrica/KRISP-0180/2020,Illumina Miseq,ARTIC_V2,KRISP-0180,
SouthAfrica/KRISP-0184/2020,Illumina Miseq,ARTIC_V2,KRISP-0184,
SouthAfrica/KRISP-0185/2020,Illumina Miseq,ARTIC_V2,KRISP-0185,
SouthAfrica/KRISP-0190/2020,Illumina Miseq,ARTIC_V2,KRISP-0190,
SouthAfrica/KRISP-0191/2020,Illumina Miseq,ARTIC_V2,KRISP-0191,
SouthAfrica/KRISP-0192/2020,Illumina Miseq,ARTIC_V2,KRISP-0192,
SouthAfrica/KRISP-0193/2020,Illumina Miseq,ARTIC_V2,KRISP-0193,
SouthAfrica/KRISP-0194/2020,Illumina Miseq,ARTIC_V2,KRISP-0194,
SouthAfrica/KRISP-0195/2020,Illumina Miseq,ARTIC_V2,KRISP-0195,
SouthAfrica/KRISP-0196/2020,Illumina Miseq,ARTIC_V2,KRISP-0196,
SouthAfrica/KRISP-0197/2020,Illumina Miseq,ARTIC_V2,KRISP-0197,
SouthAfrica/KRISP-0198/2020,Illumina Miseq,ARTIC_V2,KRISP-0198,
SouthAfrica/KRISP-0199/2020,Illumina Miseq,ARTIC_V2,KRISP-0199,
SouthAfrica/KRISP-02/2020,Illumina Miseq,ARTIC_V2,KRISP-02,
SouthAfrica/KRISP-0200/2020,Illumina Miseq,ARTIC_V2,KRISP-0200,
SouthAfrica/KRISP-0201/2020,Illumina Miseq,ARTIC_V2,KRISP-0201,
SouthAfrica/KRISP-0202/2020,Illumina Miseq,ARTIC_V2,KRISP-0202,
SouthAfrica/KRISP-0203/2020,Illumina Miseq,ARTIC_V2,KRISP-0203,
SouthAfrica/KRISP-0205/2020,Illumina Miseq,ARTIC_V2,KRISP-0205,
SouthAfrica/KRISP-0206/2020,Illumina Miseq,ARTIC_V2,KRISP-0206,
SouthAfrica/KRISP-0211/2020,Illumina Miseq,ARTIC_V2,KRISP-0211,
SouthAfrica/KRISP-0212/2020,Illumina Miseq,ARTIC_V2,KRISP-0212,
SouthAfrica/KRISP-0213/2020,Illumina Miseq,ARTIC_V2,KRISP-0213,
SouthAfrica/KRISP-0214/2020,Illumina Miseq,ARTIC_V2,KRISP-0214,
SouthAfrica/KRISP-0224/2020,Illumina Miseq,ARTIC_V2,KRISP-0224,
SouthAfrica/KRISP-0243/2020,Illumina Miseq,ARTIC_V2,KRISP-0243,
SouthAfrica/KRISP-0245/2020,Illumina Miseq,ARTIC_V2,KRISP-0245,
SouthAfrica/KRISP-0254/2020,Illumina Miseq,ARTIC_V2,KRISP-0254,
SouthAfrica/KRISP-0255/2020,Illumina Miseq,ARTIC_V2,KRISP-0255,
SouthAfrica/KRISP-0259/2020,Illumina Miseq,ARTIC_V2,KRISP-0259,
SouthAfrica/KRISP-0260/2020,Illumina Miseq,ARTIC_V2,KRISP-0260,
SouthAfrica/KRISP-0261/2020,Illumina Miseq,ARTIC_V2,KRISP-0261,
