strain,Sequencing_technology,Primers_used,simple_strain,Primers
SouthAfrica/KRISP-K002888/2020,Illumina Miseq,ARTIC_V2,KRISP-K002888,
SouthAfrica/KRISP-K002889/2020,Illumina Miseq,ARTIC_V2,KRISP-K002889,
SouthAfrica/KRISP-K002890/2020,Illumina Miseq,ARTIC_V2,KRISP-K002890,
SouthAfrica/KRISP-K002891/2020,Illumina Miseq,ARTIC_V2,KRISP-K002891,
SouthAfrica/KRISP-K002892/2020,Illumina Miseq,ARTIC_V2,KRISP-K002892,
SouthAfrica/KRISP-K002893/2020,Illumina Miseq,ARTIC_V2,KRISP-K002893,
SouthAfrica/KRISP-K002894/2020,Illumina Miseq,ARTIC_V2,KRISP-K002894,
SouthAfrica/KRISP-K002895/2020,Illumina Miseq,ARTIC_V2,KRISP-K002895,
SouthAfrica/KRISP-K002896/2020,Illumina Miseq,ARTIC_V2,KRISP-K002896,
SouthAfrica/KRISP-K002897/2020,Illumina Miseq,ARTIC_V2,KRISP-K002897,
SouthAfrica/KRISP-K002898/2020,Illumina Miseq,ARTIC_V2,KRISP-K002898,
SouthAfrica/KRISP-K002899/2020,Illumina Miseq,ARTIC_V2,KRISP-K002899,
SouthAfrica/KRISP-K002901/2020,Illumina Miseq,ARTIC_V2,KRISP-K002901,
SouthAfrica/KRISP-K002902/2020,Illumina Miseq,ARTIC_V2,KRISP-K002902,
SouthAfrica/KRISP-K002903/2020,Illumina Miseq,ARTIC_V2,KRISP-K002903,
SouthAfrica/KRISP-K003095-CE1/2020,Illumina Miseq,ARTIC_V2,KRISP-K003095-CE1,
SouthAfrica/KRISP-K003322/2020,Illumina Miseq,ARTIC_V2,KRISP-K003322,
SouthAfrica/KRISP-K003323/2020,Illumina Miseq,ARTIC_V2,KRISP-K003323,
SouthAfrica/KRISP-K003324/2020,Illumina Miseq,ARTIC_V2,KRISP-K003324,
SouthAfrica/KRISP-K003325/2020,Illumina Miseq,ARTIC_V2,KRISP-K003325,
SouthAfrica/KRISP-K003326/2020,Illumina Miseq,ARTIC_V2,KRISP-K003326,
SouthAfrica/KRISP-K003327/2020,Illumina Miseq,ARTIC_V2,KRISP-K003327,
SouthAfrica/KRISP-K003328/2020,Illumina Miseq,ARTIC_V2,KRISP-K003328,
SouthAfrica/KRISP-K003329/2020,Illumina Miseq,ARTIC_V2,KRISP-K003329,
SouthAfrica/KRISP-K003330/2020,Illumina Miseq,ARTIC_V2,KRISP-K003330,
SouthAfrica/KRISP-K003331/2020,Illumina Miseq,ARTIC_V2,KRISP-K003331,
SouthAfrica/KRISP-K003332/2020,Illumina Miseq,ARTIC_V2,KRISP-K003332,
SouthAfrica/KRISP-K003334/2020,Illumina Miseq,ARTIC_V2,KRISP-K003334,
SouthAfrica/KRISP-K003335/2020,Illumina Miseq,ARTIC_V2,KRISP-K003335,
SouthAfrica/KRISP-K003336/2020,Illumina Miseq,ARTIC_V2,KRISP-K003336,
SouthAfrica/KRISP-K003337/2020,Illumina Miseq,ARTIC_V2,KRISP-K003337,
SouthAfrica/KRISP-K003338/2020,Illumina Miseq,ARTIC_V2,KRISP-K003338,
SouthAfrica/KRISP-K003339/2020,Illumina Miseq,ARTIC_V2,KRISP-K003339,
SouthAfrica/KRISP-K003340/2020,Illumina Miseq,ARTIC_V2,KRISP-K003340,
SouthAfrica/KRISP-K003341/2020,Illumina Miseq,ARTIC_V2,KRISP-K003341,
SouthAfrica/KRISP-K003342/2020,Illumina Miseq,ARTIC_V2,KRISP-K003342,
SouthAfrica/KRISP-K003343/2020,Illumina Miseq,ARTIC_V2,KRISP-K003343,
SouthAfrica/KRISP-K003344/2020,Illumina Miseq,ARTIC_V2,KRISP-K003344,
SouthAfrica/KRISP-K003345/2020,Illumina Miseq,ARTIC_V2,KRISP-K003345,
SouthAfrica/KRISP-K003346/2020,Illumina Miseq,ARTIC_V2,KRISP-K003346,
SouthAfrica/KRISP-K003347/2020,Illumina Miseq,ARTIC_V2,KRISP-K003347,
SouthAfrica/KRISP-K003349/2020,Illumina Miseq,ARTIC_V2,KRISP-K003349,
SouthAfrica/KRISP-K003350/2020,Illumina Miseq,ARTIC_V2,KRISP-K003350,
SouthAfrica/KRISP-K003351/2020,Illumina Miseq,ARTIC_V2,KRISP-K003351,
SouthAfrica/KRISP-K003352/2020,Illumina Miseq,ARTIC_V2,KRISP-K003352,
SouthAfrica/KRISP-K003353/2020,Illumina Miseq,ARTIC_V2,KRISP-K003353,
SouthAfrica/KRISP-K003354/2020,Illumina Miseq,ARTIC_V2,KRISP-K003354,
SouthAfrica/KRISP-K003355/2020,Illumina Miseq,ARTIC_V2,KRISP-K003355,
SouthAfrica/KRISP-K003356/2020,Illumina Miseq,ARTIC_V2,KRISP-K003356,
SouthAfrica/KRISP-K003357/2020,Illumina Miseq,ARTIC_V2,KRISP-K003357,
SouthAfrica/KRISP-K003358/2020,Illumina Miseq,ARTIC_V2,KRISP-K003358,
SouthAfrica/KRISP-K003359/2020,Illumina Miseq,ARTIC_V2,KRISP-K003359,
SouthAfrica/KRISP-K003360/2020,Illumina Miseq,ARTIC_V2,KRISP-K003360,
SouthAfrica/KRISP-K003361/2020,Illumina Miseq,ARTIC_V2,KRISP-K003361,
SouthAfrica/KRISP-K003362/2020,Illumina Miseq,ARTIC_V2,KRISP-K003362,
SouthAfrica/KRISP-K003363/2020,Illumina Miseq,ARTIC_V2,KRISP-K003363,
SouthAfrica/KRISP-K003364/2020,Illumina Miseq,ARTIC_V2,KRISP-K003364,
SouthAfrica/KRISP-K003365/2020,Illumina Miseq,ARTIC_V2,KRISP-K003365,
SouthAfrica/KRISP-K003366/2020,Illumina Miseq,ARTIC_V2,KRISP-K003366,
SouthAfrica/KRISP-K003367/2020,Illumina Miseq,ARTIC_V2,KRISP-K003367,
SouthAfrica/KRISP-K003369/2020,Illumina Miseq,ARTIC_V2,KRISP-K003369,
SouthAfrica/KRISP-K003370/2020,Illumina Miseq,ARTIC_V2,KRISP-K003370,
SouthAfrica/KRISP-K003371/2020,Illumina Miseq,ARTIC_V2,KRISP-K003371,
SouthAfrica/KRISP-K003372/2020,Illumina Miseq,ARTIC_V2,KRISP-K003372,
SouthAfrica/KRISP-K003374/2020,Illumina Miseq,ARTIC_V2,KRISP-K003374,
SouthAfrica/KRISP-K003375/2020,Illumina Miseq,ARTIC_V2,KRISP-K003375,
SouthAfrica/KRISP-K003376/2020,Illumina Miseq,ARTIC_V2,KRISP-K003376,
SouthAfrica/KRISP-K003377/2020,Illumina Miseq,ARTIC_V2,KRISP-K003377,
SouthAfrica/KRISP-K003378/2020,Illumina Miseq,ARTIC_V2,KRISP-K003378,
SouthAfrica/KRISP-K003380/2020,Illumina Miseq,ARTIC_V2,KRISP-K003380,
SouthAfrica/KRISP-K003381/2020,Illumina Miseq,ARTIC_V2,KRISP-K003381,
SouthAfrica/KRISP-K003382/2020,Illumina Miseq,ARTIC_V2,KRISP-K003382,
SouthAfrica/KRISP-K003383/2020,Illumina Miseq,ARTIC_V2,KRISP-K003383,
SouthAfrica/KRISP-K003384/2020,Illumina Miseq,ARTIC_V2,KRISP-K003384,
SouthAfrica/KRISP-K003385/2020,Illumina Miseq,ARTIC_V2,KRISP-K003385,
SouthAfrica/KRISP-K003386/2020,Illumina Miseq,ARTIC_V2,KRISP-K003386,
SouthAfrica/KRISP-K003387/2020,Illumina Miseq,ARTIC_V2,KRISP-K003387,
SouthAfrica/KRISP-K003388/2020,Illumina Miseq,ARTIC_V2,KRISP-K003388,
SouthAfrica/KRISP-K003389/2020,Illumina Miseq,ARTIC_V2,KRISP-K003389,
SouthAfrica/KRISP-K003390/2020,Illumina Miseq,ARTIC_V2,KRISP-K003390,
SouthAfrica/KRISP-K003391/2020,Illumina Miseq,ARTIC_V2,KRISP-K003391,
SouthAfrica/KRISP-K003392/2020,Illumina Miseq,ARTIC_V2,KRISP-K003392,
SouthAfrica/KRISP-K003393/2020,Illumina Miseq,ARTIC_V2,KRISP-K003393,
SouthAfrica/KRISP-K003394/2020,Illumina Miseq,ARTIC_V2,KRISP-K003394,
SouthAfrica/KRISP-K003395/2020,Illumina Miseq,ARTIC_V2,KRISP-K003395,
SouthAfrica/KRISP-K003396/2020,Illumina Miseq,ARTIC_V2,KRISP-K003396,
SouthAfrica/KRISP-K003397/2020,Illumina Miseq,ARTIC_V2,KRISP-K003397,
SouthAfrica/KRISP-K003398/2020,Illumina Miseq,ARTIC_V2,KRISP-K003398,
SouthAfrica/KRISP-K003399/2020,Illumina Miseq,ARTIC_V2,KRISP-K003399,
SouthAfrica/KRISP-K003400/2020,Illumina Miseq,ARTIC_V2,KRISP-K003400,
SouthAfrica/KRISP-K003401/2020,Illumina Miseq,ARTIC_V2,KRISP-K003401,
SouthAfrica/KRISP-K003402/2020,Illumina Miseq,ARTIC_V2,KRISP-K003402,
SouthAfrica/KRISP-K003403/2020,Illumina Miseq,ARTIC_V2,KRISP-K003403,
SouthAfrica/KRISP-K003458/2020,Illumina Miseq,ARTIC_V2,KRISP-K003458,
SouthAfrica/KRISP-K003459/2020,Illumina Miseq,ARTIC_V2,KRISP-K003459,
SouthAfrica/KRISP-K003460/2020,Illumina Miseq,ARTIC_V2,KRISP-K003460,
SouthAfrica/KRISP-K003461/2020,Illumina Miseq,ARTIC_V2,KRISP-K003461,
SouthAfrica/KRISP-K003462/2020,Illumina Miseq,ARTIC_V2,KRISP-K003462,
SouthAfrica/KRISP-K003463/2020,Illumina Miseq,ARTIC_V2,KRISP-K003463,
SouthAfrica/KRISP-K003464/2020,Illumina Miseq,ARTIC_V2,KRISP-K003464,
SouthAfrica/KRISP-K003465/2020,Illumina Miseq,ARTIC_V2,KRISP-K003465,
SouthAfrica/KRISP-K003466/2020,Illumina Miseq,ARTIC_V2,KRISP-K003466,
SouthAfrica/KRISP-K003467/2020,Illumina Miseq,ARTIC_V2,KRISP-K003467,
SouthAfrica/KRISP-K003469/2020,Illumina Miseq,ARTIC_V2,KRISP-K003469,
SouthAfrica/KRISP-K003470/2020,Illumina Miseq,ARTIC_V2,KRISP-K003470,
SouthAfrica/KRISP-K003471/2020,Illumina Miseq,ARTIC_V2,KRISP-K003471,
SouthAfrica/KRISP-K003472/2020,Illumina Miseq,ARTIC_V2,KRISP-K003472,
SouthAfrica/KRISP-K003473/2020,Illumina Miseq,ARTIC_V2,KRISP-K003473,
SouthAfrica/KRISP-K003474/2020,Illumina Miseq,ARTIC_V2,KRISP-K003474,
SouthAfrica/KRISP-K003476/2020,Illumina Miseq,ARTIC_V2,KRISP-K003476,
SouthAfrica/KRISP-K003477/2020,Illumina Miseq,ARTIC_V2,KRISP-K003477,
SouthAfrica/KRISP-K003478/2020,Illumina Miseq,ARTIC_V2,KRISP-K003478,
SouthAfrica/KRISP-K003479/2020,Illumina Miseq,ARTIC_V2,KRISP-K003479,
SouthAfrica/KRISP-K003480/2020,Illumina Miseq,ARTIC_V2,KRISP-K003480,
SouthAfrica/KRISP-K003481/2020,Illumina Miseq,ARTIC_V2,KRISP-K003481,
SouthAfrica/KRISP-K003482/2020,Illumina Miseq,ARTIC_V2,KRISP-K003482,
SouthAfrica/KRISP-K003483/2020,Illumina Miseq,ARTIC_V2,KRISP-K003483,
SouthAfrica/KRISP-K003484/2020,Illumina Miseq,ARTIC_V2,KRISP-K003484,
SouthAfrica/KRISP-K003485/2020,Illumina Miseq,ARTIC_V2,KRISP-K003485,
SouthAfrica/KRISP-K003487/2020,Illumina Miseq,ARTIC_V2,KRISP-K003487,
SouthAfrica/KRISP-K003489/2020,Illumina Miseq,ARTIC_V2,KRISP-K003489,
SouthAfrica/KRISP-K003490/2020,Illumina Miseq,ARTIC_V2,KRISP-K003490,
SouthAfrica/KRISP-K003491/2020,Illumina Miseq,ARTIC_V2,KRISP-K003491,
SouthAfrica/KRISP-K003492/2020,Illumina Miseq,ARTIC_V2,KRISP-K003492,
SouthAfrica/KRISP-K003495/2020,Illumina Miseq,ARTIC_V2,KRISP-K003495,
SouthAfrica/KRISP-K003500/2020,Illumina Miseq,ARTIC_V2,KRISP-K003500,
SouthAfrica/KRISP-K003501/2020,Illumina Miseq,ARTIC_V2,KRISP-K003501,
SouthAfrica/KRISP-K003502/2020,Illumina Miseq,ARTIC_V2,KRISP-K003502,
SouthAfrica/KRISP-K003503/2020,Illumina Miseq,ARTIC_V2,KRISP-K003503,
SouthAfrica/KRISP-K003504/2020,Illumina Miseq,ARTIC_V2,KRISP-K003504,
SouthAfrica/KRISP-K003506/2020,Illumina Miseq,ARTIC_V2,KRISP-K003506,
SouthAfrica/KRISP-K003507/2020,Illumina Miseq,ARTIC_V2,KRISP-K003507,
SouthAfrica/KRISP-K003508/2020,Illumina Miseq,ARTIC_V2,KRISP-K003508,
SouthAfrica/KRISP-K003509/2020,Illumina Miseq,ARTIC_V2,KRISP-K003509,
SouthAfrica/KRISP-K003511/2020,Illumina Miseq,ARTIC_V2,KRISP-K003511,
SouthAfrica/KRISP-K003513/2020,Illumina Miseq,ARTIC_V2,KRISP-K003513,
SouthAfrica/KRISP-K003514/2020,Illumina Miseq,ARTIC_V2,KRISP-K003514,
SouthAfrica/KRISP-K003515/2020,Illumina Miseq,ARTIC_V2,KRISP-K003515,
SouthAfrica/KRISP-K003518/2020,Illumina Miseq,ARTIC_V2,KRISP-K003518,
SouthAfrica/KRISP-K003519/2020,Illumina Miseq,ARTIC_V2,KRISP-K003519,
SouthAfrica/KRISP-K003520/2020,Illumina Miseq,ARTIC_V2,KRISP-K003520,
SouthAfrica/KRISP-K003521/2020,Illumina Miseq,ARTIC_V2,KRISP-K003521,
SouthAfrica/KRISP-K003522/2020,Illumina Miseq,ARTIC_V2,KRISP-K003522,
SouthAfrica/KRISP-K003523/2020,Illumina Miseq,ARTIC_V2,KRISP-K003523,
SouthAfrica/KRISP-K003525/2020,Illumina Miseq,ARTIC_V2,KRISP-K003525,
SouthAfrica/KRISP-K003526/2020,Illumina Miseq,ARTIC_V2,KRISP-K003526,
SouthAfrica/KRISP-K003527/2020,Illumina Miseq,ARTIC_V2,KRISP-K003527,
SouthAfrica/KRISP-K003528/2020,Illumina Miseq,ARTIC_V2,KRISP-K003528,
SouthAfrica/KRISP-K003529/2020,Illumina Miseq,ARTIC_V2,KRISP-K003529,
SouthAfrica/KRISP-K003530/2020,Illumina Miseq,ARTIC_V2,KRISP-K003530,
SouthAfrica/KRISP-K003531/2020,Illumina Miseq,ARTIC_V2,KRISP-K003531,
SouthAfrica/KRISP-K003532/2020,Illumina Miseq,ARTIC_V2,KRISP-K003532,
SouthAfrica/KRISP-K003533/2020,Illumina Miseq,ARTIC_V2,KRISP-K003533,
SouthAfrica/KRISP-K003534/2020,Illumina Miseq,ARTIC_V2,KRISP-K003534,
SouthAfrica/KRISP-K003536/2020,Illumina Miseq,ARTIC_V2,KRISP-K003536,
SouthAfrica/KRISP-K003537/2020,Illumina Miseq,ARTIC_V2,KRISP-K003537,
SouthAfrica/KRISP-K003538/2020,Illumina Miseq,ARTIC_V2,KRISP-K003538,
SouthAfrica/KRISP-K003539/2020,Illumina Miseq,ARTIC_V2,KRISP-K003539,
SouthAfrica/KRISP-K003540/2020,Illumina Miseq,ARTIC_V2,KRISP-K003540,
SouthAfrica/KRISP-K003541/2020,Illumina Miseq,ARTIC_V2,KRISP-K003541,
SouthAfrica/KRISP-K003543/2020,Illumina Miseq,ARTIC_V2,KRISP-K003543,
SouthAfrica/KRISP-K003544/2020,Illumina Miseq,ARTIC_V2,KRISP-K003544,
SouthAfrica/KRISP-K003545/2020,Illumina Miseq,ARTIC_V2,KRISP-K003545,
SouthAfrica/KRISP-K003546/2020,Illumina Miseq,ARTIC_V2,KRISP-K003546,
SouthAfrica/KRISP-K003547/2020,Illumina Miseq,ARTIC_V2,KRISP-K003547,
SouthAfrica/KRISP-K003550/2020,Illumina Miseq,ARTIC_V2,KRISP-K003550,
SouthAfrica/KRISP-K003666/2020,Illumina Miseq,ARTIC_V2,KRISP-K003666,
SouthAfrica/KRISP-K003667/2020,Illumina Miseq,ARTIC_V2,KRISP-K003667,
SouthAfrica/KRISP-K003668/2020,Illumina Miseq,ARTIC_V2,KRISP-K003668,
SouthAfrica/KRISP-K003669/2020,Illumina Miseq,ARTIC_V2,KRISP-K003669,
SouthAfrica/KRISP-K003670/2020,Illumina Miseq,ARTIC_V2,KRISP-K003670,
SouthAfrica/KRISP-K003671/2020,Illumina Miseq,ARTIC_V2,KRISP-K003671,
SouthAfrica/KRISP-K003672/2020,Illumina Miseq,ARTIC_V2,KRISP-K003672,
SouthAfrica/KRISP-K003673/2020,Illumina Miseq,ARTIC_V2,KRISP-K003673,
SouthAfrica/KRISP-K003674/2020,Illumina Miseq,ARTIC_V2,KRISP-K003674,
SouthAfrica/KRISP-K003675/2020,Illumina Miseq,ARTIC_V2,KRISP-K003675,
SouthAfrica/KRISP-K003678/2020,Illumina Miseq,ARTIC_V2,KRISP-K003678,
SouthAfrica/KRISP-K003679/2020,Illumina Miseq,ARTIC_V2,KRISP-K003679,
SouthAfrica/KRISP-K003682/2020,Illumina Miseq,ARTIC_V2,KRISP-K003682,
SouthAfrica/KRISP-K003683/2020,Illumina Miseq,ARTIC_V2,KRISP-K003683,
SouthAfrica/KRISP-K003684/2020,Illumina Miseq,ARTIC_V2,KRISP-K003684,
SouthAfrica/KRISP-K003685/2020,Illumina Miseq,ARTIC_V2,KRISP-K003685,
SouthAfrica/KRISP-K003687/2020,Illumina Miseq,ARTIC_V2,KRISP-K003687,
SouthAfrica/KRISP-K003688/2020,Illumina Miseq,ARTIC_V2,KRISP-K003688,
SouthAfrica/KRISP-K003689/2020,Illumina Miseq,ARTIC_V2,KRISP-K003689,
SouthAfrica/KRISP-K003690/2020,Illumina Miseq,ARTIC_V2,KRISP-K003690,
SouthAfrica/KRISP-K003691/2020,Illumina Miseq,ARTIC_V2,KRISP-K003691,
SouthAfrica/KRISP-K003692/2020,Illumina Miseq,ARTIC_V2,KRISP-K003692,
SouthAfrica/KRISP-K003694/2020,Illumina Miseq,ARTIC_V2,KRISP-K003694,
SouthAfrica/KRISP-K003696/2020,Illumina Miseq,ARTIC_V2,KRISP-K003696,
SouthAfrica/KRISP-K003697/2020,Illumina Miseq,ARTIC_V2,KRISP-K003697,
SouthAfrica/KRISP-K003698/2020,Illumina Miseq,ARTIC_V2,KRISP-K003698,
SouthAfrica/KRISP-K003699/2020,Illumina Miseq,ARTIC_V2,KRISP-K003699,
SouthAfrica/KRISP-K003700/2020,Illumina Miseq,ARTIC_V2,KRISP-K003700,
SouthAfrica/KRISP-K003701/2020,Illumina Miseq,ARTIC_V2,KRISP-K003701,
SouthAfrica/KRISP-K003702/2020,Illumina Miseq,ARTIC_V2,KRISP-K003702,
SouthAfrica/KRISP-K003703/2020,Illumina Miseq,ARTIC_V2,KRISP-K003703,
SouthAfrica/KRISP-K003704/2020,Illumina Miseq,ARTIC_V2,KRISP-K003704,
SouthAfrica/KRISP-K003705/2020,Illumina Miseq,ARTIC_V2,KRISP-K003705,
SouthAfrica/KRISP-K003706/2020,Illumina Miseq,ARTIC_V2,KRISP-K003706,
SouthAfrica/KRISP-K003707/2020,Illumina Miseq,ARTIC_V2,KRISP-K003707,
SouthAfrica/KRISP-K003708/2020,Illumina Miseq,ARTIC_V2,KRISP-K003708,
SouthAfrica/KRISP-K003709/2020,Illumina Miseq,ARTIC_V2,KRISP-K003709,
SouthAfrica/KRISP-K003710/2020,Illumina Miseq,ARTIC_V2,KRISP-K003710,
SouthAfrica/KRISP-K003711/2020,Illumina Miseq,ARTIC_V2,KRISP-K003711,
SouthAfrica/KRISP-K003712/2020,Illumina Miseq,ARTIC_V2,KRISP-K003712,
SouthAfrica/KRISP-K003713/2020,Illumina Miseq,ARTIC_V2,KRISP-K003713,
SouthAfrica/KRISP-K003714/2020,Illumina Miseq,ARTIC_V2,KRISP-K003714,
SouthAfrica/KRISP-K003715/2020,Illumina Miseq,ARTIC_V2,KRISP-K003715,
SouthAfrica/KRISP-K003716/2020,Illumina Miseq,ARTIC_V2,KRISP-K003716,
SouthAfrica/KRISP-K003717/2020,Illumina Miseq,ARTIC_V2,KRISP-K003717,
SouthAfrica/KRISP-K003718/2020,Illumina Miseq,ARTIC_V2,KRISP-K003718,
SouthAfrica/KRISP-K003719/2020,Illumina Miseq,ARTIC_V2,KRISP-K003719,
SouthAfrica/KRISP-K003720/2020,Illumina Miseq,ARTIC_V2,KRISP-K003720,
SouthAfrica/KRISP-K003721/2020,Illumina Miseq,ARTIC_V2,KRISP-K003721,
SouthAfrica/KRISP-K003722/2020,Illumina Miseq,ARTIC_V2,KRISP-K003722,
SouthAfrica/KRISP-K003723/2020,Illumina Miseq,ARTIC_V2,KRISP-K003723,
SouthAfrica/KRISP-K003724/2020,Illumina Miseq,ARTIC_V2,KRISP-K003724,
SouthAfrica/KRISP-K003725/2020,Illumina Miseq,ARTIC_V2,KRISP-K003725,
SouthAfrica/KRISP-K003726/2020,Illumina Miseq,ARTIC_V2,KRISP-K003726,
SouthAfrica/KRISP-K003727/2020,Illumina Miseq,ARTIC_V2,KRISP-K003727,
SouthAfrica/KRISP-K003728/2020,Illumina Miseq,ARTIC_V2,KRISP-K003728,
SouthAfrica/KRISP-K003729/2020,Illumina Miseq,ARTIC_V2,KRISP-K003729,
SouthAfrica/KRISP-K003730/2020,Illumina Miseq,ARTIC_V2,KRISP-K003730,
SouthAfrica/KRISP-K003731/2020,Illumina Miseq,ARTIC_V2,KRISP-K003731,
SouthAfrica/KRISP-K003732/2020,Illumina Miseq,ARTIC_V2,KRISP-K003732,
SouthAfrica/KRISP-K003733/2020,Illumina Miseq,ARTIC_V2,KRISP-K003733,
SouthAfrica/KRISP-K003734/2020,Illumina Miseq,ARTIC_V2,KRISP-K003734,
SouthAfrica/KRISP-K003735/2020,Illumina Miseq,ARTIC_V2,KRISP-K003735,
SouthAfrica/KRISP-K003737/2020,Illumina Miseq,ARTIC_V2,KRISP-K003737,
SouthAfrica/KRISP-K003738/2020,Illumina Miseq,ARTIC_V2,KRISP-K003738,
SouthAfrica/KRISP-K003739/2020,Illumina Miseq,ARTIC_V2,KRISP-K003739,
SouthAfrica/KRISP-K003740/2020,Illumina Miseq,ARTIC_V2,KRISP-K003740,
SouthAfrica/KRISP-K003742/2020,Illumina Miseq,ARTIC_V2,KRISP-K003742,
SouthAfrica/KRISP-K003743/2020,Illumina Miseq,ARTIC_V2,KRISP-K003743,
SouthAfrica/KRISP-K003744/2020,Illumina Miseq,ARTIC_V2,KRISP-K003744,
SouthAfrica/KRISP-K003745/2020,Illumina Miseq,ARTIC_V2,KRISP-K003745,
SouthAfrica/KRISP-K003746/2020,Illumina Miseq,ARTIC_V2,KRISP-K003746,
SouthAfrica/KRISP-K003747/2020,Illumina Miseq,ARTIC_V2,KRISP-K003747,
SouthAfrica/KRISP-K003748/2020,Illumina Miseq,ARTIC_V2,KRISP-K003748,
SouthAfrica/KRISP-K003749/2020,Illumina Miseq,ARTIC_V2,KRISP-K003749,
SouthAfrica/KRISP-K003750/2020,Illumina Miseq,ARTIC_V2,KRISP-K003750,
SouthAfrica/KRISP-K003752/2020,Illumina Miseq,ARTIC_V2,KRISP-K003752,
SouthAfrica/KRISP-K003753/2020,Illumina Miseq,ARTIC_V2,KRISP-K003753,
SouthAfrica/KRISP-K003756/2020,Illumina Miseq,ARTIC_V2,KRISP-K003756,
SouthAfrica/KRISP-K003757/2020,Illumina Miseq,ARTIC_V2,KRISP-K003757,
SouthAfrica/KRISP-K003758/2020,Illumina Miseq,ARTIC_V2,KRISP-K003758,
SouthAfrica/KRISP-K003759/2020,Illumina Miseq,ARTIC_V2,KRISP-K003759,
SouthAfrica/KRISP-K003990/2020,Illumina Miseq,ARTIC_V2,KRISP-K003990,
SouthAfrica/KRISP-K003991/2020,Illumina Miseq,ARTIC_V2,KRISP-K003991,
SouthAfrica/KRISP-K003992/2020,Illumina Miseq,ARTIC_V2,KRISP-K003992,
SouthAfrica/KRISP-K003993/2020,Illumina Miseq,ARTIC_V2,KRISP-K003993,
SouthAfrica/KRISP-K003994/2020,Illumina Miseq,ARTIC_V2,KRISP-K003994,
SouthAfrica/KRISP-K003995/2020,Illumina Miseq,ARTIC_V2,KRISP-K003995,
SouthAfrica/KRISP-K003996/2020,Illumina Miseq,ARTIC_V2,KRISP-K003996,
SouthAfrica/KRISP-K003997/2020,Illumina Miseq,ARTIC_V2,KRISP-K003997,
SouthAfrica/KRISP-K003999/2020,Illumina Miseq,ARTIC_V2,KRISP-K003999,
SouthAfrica/KRISP-K004002/2020,Illumina Miseq,ARTIC_V2,KRISP-K004002,
SouthAfrica/KRISP-K004003/2020,Illumina Miseq,ARTIC_V2,KRISP-K004003,
SouthAfrica/KRISP-K004004/2020,Illumina Miseq,ARTIC_V2,KRISP-K004004,
SouthAfrica/KRISP-K004005/2020,Illumina Miseq,ARTIC_V2,KRISP-K004005,
SouthAfrica/KRISP-K004006/2020,Illumina Miseq,ARTIC_V2,KRISP-K004006,
SouthAfrica/KRISP-K004007/2020,Illumina Miseq,ARTIC_V2,KRISP-K004007,
SouthAfrica/KRISP-K004008/2020,Illumina Miseq,ARTIC_V2,KRISP-K004008,
SouthAfrica/KRISP-K004009/2020,Illumina Miseq,ARTIC_V2,KRISP-K004009,
SouthAfrica/KRISP-K004010/2020,Illumina Miseq,ARTIC_V2,KRISP-K004010,
SouthAfrica/KRISP-K004011/2020,Illumina Miseq,ARTIC_V2,KRISP-K004011,
SouthAfrica/KRISP-K004012/2020,Illumina Miseq,ARTIC_V2,KRISP-K004012,
SouthAfrica/KRISP-K004013/2020,Illumina Miseq,ARTIC_V2,KRISP-K004013,
SouthAfrica/KRISP-K004014/2020,Illumina Miseq,ARTIC_V2,KRISP-K004014,
SouthAfrica/KRISP-K004015/2020,Illumina Miseq,ARTIC_V2,KRISP-K004015,
SouthAfrica/KRISP-K004017/2020,Illumina Miseq,ARTIC_V2,KRISP-K004017,
SouthAfrica/KRISP-K004018/2020,Illumina Miseq,ARTIC_V2,KRISP-K004018,
SouthAfrica/KRISP-K004020/2020,Illumina Miseq,ARTIC_V2,KRISP-K004020,
SouthAfrica/KRISP-K004021/2020,Illumina Miseq,ARTIC_V2,KRISP-K004021,
SouthAfrica/KRISP-K004022/2020,Illumina Miseq,ARTIC_V2,KRISP-K004022,
SouthAfrica/KRISP-K004023/2020,Illumina Miseq,ARTIC_V2,KRISP-K004023,
SouthAfrica/KRISP-K004024/2020,Illumina Miseq,ARTIC_V2,KRISP-K004024,
SouthAfrica/KRISP-K004025/2020,Illumina Miseq,ARTIC_V2,KRISP-K004025,
SouthAfrica/KRISP-K004027/2020,Illumina Miseq,ARTIC_V2,KRISP-K004027,
SouthAfrica/KRISP-K004029/2020,Illumina Miseq,ARTIC_V2,KRISP-K004029,
SouthAfrica/KRISP-K004030/2020,Illumina Miseq,ARTIC_V2,KRISP-K004030,
SouthAfrica/KRISP-K004031/2020,Illumina Miseq,ARTIC_V2,KRISP-K004031,
SouthAfrica/KRISP-K004032/2020,Illumina Miseq,ARTIC_V2,KRISP-K004032,
SouthAfrica/KRISP-K004033/2020,Illumina Miseq,ARTIC_V2,KRISP-K004033,
SouthAfrica/KRISP-K004034/2020,Illumina Miseq,ARTIC_V2,KRISP-K004034,
SouthAfrica/KRISP-K004035/2020,Illumina Miseq,ARTIC_V2,KRISP-K004035,
SouthAfrica/KRISP-K004036/2020,Illumina Miseq,ARTIC_V2,KRISP-K004036,
SouthAfrica/KRISP-K004037/2020,Illumina Miseq,ARTIC_V2,KRISP-K004037,
SouthAfrica/KRISP-K004038/2020,Illumina Miseq,ARTIC_V2,KRISP-K004038,
