listed_technology,simple_tech
IlluminaNextSeq663,Illumina
IlluminaNextSeq664,Illumina
IlluminaNextSeq665,Illumina
IlluminaNextSeq666,Illumina
IlluminaNextSeq667,Illumina
IlluminaNextSeq668,Illumina
IlluminaNextSeq669,Illumina
IlluminaNextSeq670,Illumina
IlluminaNextSeq671,Illumina
IlluminaNextSeq672,Illumina
IlluminaNextSeq673,Illumina
IlluminaNextSeq674,Illumina
IlluminaNextSeq675,Illumina
IlluminaNextseqIlluminaMiseq,Illumina
IlluminaNovaSeq,Illumina
IlluminaNovaseq,Illumina
IlluminaNovaseq6000,Illumina
IlluminaNovaSeq6000,Illumina
Illumnia,Illumina
Iluminamiseq,Illumina
IonTorrent,IonTorrent
Iontorrent,IonTorrent
ionTorrent,IonTorrent
iontorrent,IonTorrent
lluminaNextSeq550,Illumina
lluminaNextSeqandMiSeq,Illumina
MGI-G50RS,MGI
MGIG50Atoplex,MGI
MGIG50Atoplexkit,MGI
MinIon,ONT
MinION,ONT
Minion,ONT
MinIONMk1C,ONT
MiSeq,Illumina
Miseq,Illumina
NanopopreMinIon,ONT
Nanopore,ONT
Nanopore/MinIon,ONT
NanoporeGridION,ONT
NanoporeGridion,ONT
NanoporeGridIONARTICprotocolMidnightprimers,ONT
NanoporeMinioN,ONT
NanoporeMinIon,ONT
NanoporeMInION,ONT
NanoporeMinIOn,ONT
NanoporeMinION.,ONT
NanoporeMinIONARTICprotocolMidnightprimers,ONT
NanoporeMinIONARTICprotocolv1primers,ONT
NanoporeMinIONARTICv1primers,ONT
NanoporeMinIONARTICv3,ONT
NanoporeMinIONMk1C,ONT
NaoporeMinION,ONT
NextSeq,Illumina
Nextseq,Illumina
NGS,Not_listed
ONT,ONT
OXFORD_NANOPOREARTIC,ONT
OXFORD_NANOPOREARTICv3,ONT
OXFORD_NANOPOREUniversityofZambia10.1016/j.ijid.2020.09.1480,ONT
Oxford_NanoporeUniversityofZambia10.1016/j.ijid.2020.09.1480,ONT
OXFORD_NANOPOREUNZASangerPMID33035675,ONT
OxfordNanopore,ONT
OxfordNanoporeGridION,ONT
OxfordNanoporeMiniION,ONT
OxfordNanoporeMinION,ONT
OxfordNanoporeTechnologies,ONT
OxfordNanoporeTechnologies(ONT),ONT
